iter	Passed	Remaining
149	1033	1723
150	1040	1715
151	1049	1712
152	1055	1704
153	1066	1704
154	1073	1697
155	1083	1695
156	1094	1693
157	1102	1688
158	1110	1683
159	1117	1676
160	1124	1668
161	1133	1665
162	1139	1657
163	1147	1650
164	1153	1643
165	1163	1640
166	1170	1633
167	1179	1628
168	1186	1621
169	1195	1617
170	1202	1609
171	1210	1605
172	1217	1597
173	1225	1592
174	1232	1585
175	1241	1579
176	1247	1571
177	1251	1561
178	1258	1554
179	1268	1549
180	1275	1543
181	1281	1534
182	1287	1527
183	1293	1518
184	1298	1508
185	1304	1500
186	1310	1492
187	1314	1482
188	1320	1474
189	1325	1465
190	1330	1455
191	1335	1447
192	1341	1439
193	1347	1430
194	1353	1423
195	1358	1413
196	1362	1404
197	1368	1395
198	1373	1387
199	1378	1378
200	1384	1371
201	1389	1362
202	1394	1353
203	1400	1345
204	1405	1337
205	1411	1328
206	1418	1322
207	1423	1314
208	1429	1305
209	1435	1299
210	1441	1290
211	1446	1282
212	1452	1275
213	1459	1268
214	1477	1271
215	1484	1264
216	1486	1253
217	1494	1247
218	1502	1241
219	1510	1235
220	1517	1229
221	1525	1222
222	1536	1219
223	1542	1212
224	1552	1207
225	1557	1199
226	1567	1194
227	1574	1187
228	1583	1182
229	1590	1175
230	1602	1172
231	1609	1165
232	1618	1159
233	1624	1152
234	1635	1148
235	1645	1143
236	1651	1135
237	1660	1130
238	1666	1122
239	1672	1115
240	1681	1109
241	1686	1101
242	1695	1095
243	1703	1088
244	1712	1083
245	1718	1076
246	1727	1070
247	1733	1062
248	1742	1056
249	1749	1049
250	1757	1043
251	1763	1035
252	1769	1028
253	1777	1021
254	1783	1013
255	1790	1007
256	1799	1001
257	1806	994
258	1811	986
259	1816	978
260	1823	971
261	1828	963
262	1833	954
263	1840	948
264	1845	940
265	1850	932
266	1856	924
267	1863	918
268	1871	911
269	1876	903
270	1880	895
271	1887	888
272	1892	880
273	1897	872
274	1904	865
275	1909	857
276	1914	850
277	1921	843
278	1927	835
279	1933	828
280	1939	821
281	1944	813
282	1950	806
283	1957	799
284	1963	792
285	1969	784
286	1975	777
287	1983	771
288	1990	764
289	1995	757
290	2002	749
291	2007	742
292	2012	734
293	2018	727
294	2023	720
295	2029	712
296	2035	705
297	2040	698
298	2047	691
299	2052	684
300	2058	676
301	2064	670
302	2070	662
303	2077	656
304	2082	648
305	2088	641
306	2095	634
307	2101	627
308	2106	620
309	2113	613
310	2119	606
311	2126	599
312	2134	593
313	2138	585
314	2145	578
315	2150	571
316	2154	564
317	2161	557
318	2167	550
319	2172	543
320	2178	536
321	2183	528
322	2187	521
323	2194	514
324	2199	507
325	2204	500
326	2211	493
327	2216	486
328	2220	479
329	2226	472
330	2231	465
331	2235	457
332	2243	451
333	2249	444
334	2253	437
335	2260	430
336	2266	423
337	2273	417
338	2279	410
339	2284	403
340	2290	396
341	2295	389
342	2300	382
343	2306	375
344	2312	368
345	2317	361
346	2323	354
347	2328	347
348	2332	340
349	2339	334
350	2343	327
351	2348	320
352	2354	313
353	2359	306
354	2363	299
355	2370	292
356	2376	286
357	2381	279
358	2389	272
359	2394	266
360	2399	259
361	2406	252
362	2411	245
363	2415	238
364	2421	232
365	2425	225
366	2429	218
367	2436	211
368	2441	205
369	2446	198
370	2452	191
371	2458	185
372	2462	178
373	2468	171
374	2474	164
375	2478	158
376	2484	151
377	2489	144
378	2494	138
379	2500	131
380	2505	124
381	2509	118
382	2516	111
383	2521	105
384	2525	98
385	2532	91
386	2538	85
387	2543	78
388	2549	72
389	2554	65
390	2558	58
391	2564	52
392	2569	45
393	2573	39
394	2579	32
395	2584	26
396	2590	19
397	2596	13
398	2602	6
399	2607	0
