STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform,Year
3176,RUMDER LAKE,LAKE,GOA,25.3,35,1.9,7.5,6.3,8,98,324,0.6,6,0.03,2.43,780,7900,1100,11000,2017
3177,CARAMBOLIM LAKE,LAKE,GOA,23.3,33,2.8,8.5,6.4,7.7,63,235,1,5.1,0,1.24,110,7900,140,22000,2017
3178,RAIA LAKE,LAKE,GOA,26.5,38,4.7,9.2,6,7.6,72,417,1,9.9,0,0.19,200,24000,450,35000,2017
3179,SAIPEM LAKE,LAKE,GOA,26,31.5,0,7.8,6.4,7.8,289,380,1.1,12,0,11.57,35000,54000,54000,92000,2017
3180,CURTORIM LAKE,LAKE,GOA,26,38,1.5,11,5,7.3,78,594,0.9,10.4,0,1.48,130,7900,230,13000,2017
1343,"KANKORIA LAKE AT 
AHMEDABAD, NR. BALVATIKA, 
GUJARAT",LAKE,GUJARAT,25,39,4.2,11.6,8.4,9.1,2308,3479,30,87,0.19,0.41,9,48,48,540,2017
1344,"CHANDOLA LAKE AT 
AHMEDABAD, GUJARAT",LAKE,GUJARAT,25,30,2.6,8.1,7.5,8.8,349,543,5,31,0.09,0.51,5,94,58,540,2017
1345,"AJWAH LAKE AT SRI SAYAJI 
SABVAR, BARODA, GUJARAT",LAKE,GUJARAT,22,30,7.6,8.9,7.2,8.5,223,350,0.2,0.9,0.04,0.9,2,4,4,21,2017
1346,"SURSAGAR LAKE AT BARODA, 
GUJARAT",LAKE,GUJARAT,25,32,1.6,5.5,6.7,8,2630,3720,0.8,2.5,0.08,1.1,4,26,11,63,2017
1972,"NALSAROVAR LAKE (SANAND), 
DIST.AHMEDABAD",LAKE,GUJARAT,26,30,5,9.3,7.7,9.4,298,26580,5,105,0.1,0.39,5,40,21,110,2017
1973,"BINDUSAROVAR, SIDDHPUR 
(DIST.PATAN)",LAKE,GUJARAT,21,38,3.4,9,7.3,8.3,146,2991,4.1,540,0.03,6.48,4,49,9,84,2017
1975,"LAKHOTA TALAV, JAMNAGAR",LAKE,GUJARAT,22,29,4.1,7.2,6.6,8.8,420,860,4.1,10.8,0.01,0.38,2,9,2,24,2017
1976,"NARSIMEHTA TALAV- 
JUNAGADH",LAKE,GUJARAT,22,26,3.8,36,6.7,8,360,1980,3.1,108,0,0.36,7,8,14,22,2017
